Algorithm,Allocation,Processes,Latency
Default,core,2,0.24
Default,core,4,0.70
Default,core,6,0.93
Default,core,8,0.93
Default,core,10,1.53
Default,core,12,1.74
Default,core,14,2.52
Default,core,16,2.30
Default,core,18,3.69
Default,core,20,3.97
Default,core,22,3.57
Default,core,24,3.55
Default,core,26,4.62
Default,core,28,4.76
Default,core,30,5.10
Default,core,32,3.92
Default,core,34,4.76
Default,core,36,4.74
Default,core,38,5.10
Default,core,40,5.10
Default,core,42,5.51
Default,core,44,5.49
Default,core,46,5.53
Default,core,48,5.85
Default,socket,2,0.58
Default,socket,4,1.39
Default,socket,6,1.93
Default,socket,8,1.74
Default,socket,10,2.21
Default,socket,12,2.43
Default,socket,14,3.17
Default,socket,16,2.31
Default,socket,18,2.71
