Algorithm,Allocation,Processes,Latency
linear,core,2,0.40
linear,core,4,0.72
linear,core,6,0.92
linear,core,8,1.17
linear,core,10,1.37
linear,core,12,1.73
linear,core,14,2.21
linear,core,16,3.00
linear,core,18,4.02
linear,core,20,3.64
linear,core,22,7.99
linear,core,24,5.21
linear,core,26,4.42
linear,core,28,5.33
linear,core,30,5.21
linear,core,32,5.61
linear,core,34,6.09
linear,core,36,6.36
linear,core,38,7.18
linear,core,40,6.99
linear,core,42,7.72
linear,core,44,7.98
linear,core,46,8.44
linear,core,48,8.75
linear,socket,2,0.81
linear,socket,4,1.30
linear,socket,6,1.51
linear,socket,8,2.02
linear,socket,10,2.36
linear,socket,12,2.93
linear,socket,14,3.71
linear,socket,16,3.72
linear,socket,18,5.33
linear,socket,20,4.46
linear,socket,22,4.40
linear,socket,24,4.91
linear,socket,26,5.17
linear,socket,28,6.31
linear,socket,30,5.83
linear,socket,32,7.16
linear,socket,34,6.56
linear,socket,36,7.11
linear,socket,38,7.43
linear,socket,40,7.82
linear,socket,42,8.17
linear,socket,44,8.43
linear,socket,46,8.93
linear,socket,48,12.02
linear,node,2,2.01
linear,node,4,2.98
linear,node,6,2.70
linear,node,8,3.02
linear,node,10,3.16
linear,node,12,3.48
linear,node,14,4.13
linear,node,16,5.33
linear,node,18,4.01
linear,node,20,5.06
linear,node,22,6.16
linear,node,24,4.97
