Algorithm,Allocation,Processes,Latency
tree,core,2,0.37
tree,core,4,0.89
tree,core,6,1.09
tree,core,8,1.38
tree,core,10,1.55
tree,core,12,1.73
tree,core,14,2.34
tree,core,16,4.17
tree,core,18,3.06
tree,core,20,3.00
tree,core,22,3.56
tree,core,24,4.15
tree,core,26,3.59
tree,core,28,4.80
tree,core,30,4.85
tree,core,32,4.89
tree,core,34,5.25
tree,core,36,5.08
tree,core,38,4.85
tree,core,40,5.07
tree,core,42,4.97
tree,core,44,4.81
tree,core,46,5.03
tree,core,48,4.96
tree,socket,2,0.98
tree,socket,4,1.92
tree,socket,6,1.93
tree,socket,8,2.49
tree,socket,10,2.58
tree,socket,12,2.72
tree,socket,14,3.01
tree,socket,16,3.28
tree,socket,18,3.29
tree,socket,20,3.02
tree,socket,22,3.26
tree,socket,24,3.03
tree,socket,26,4.07
tree,socket,28,4.38
tree,socket,30,5.25
tree,socket,32,5.37
tree,socket,34,5.40
tree,socket,36,5.57
tree,socket,38,5.40
tree,socket,40,5.71
tree,socket,42,5.49
tree,socket,44,5.41
tree,socket,46,5.32
tree,socket,48,5.02
tree,node,2,2.00
tree,node,4,3.75
tree,node,6,3.81
tree,node,8,4.46
tree,node,10,4.30
tree,node,12,4.75
tree,node,14,4.68
tree,node,16,5.26
tree,node,18,5.06
tree,node,20,5.22
tree,node,22,5.29
tree,node,24,5.34
tree,node,26,5.18
tree,node,28,5.07
tree,node,30,5.20
tree,node,32,5.36
tree,node,34,5.28
tree,node,36,5.62
tree,node,38,5.57
tree,node,40,5.32
tree,node,42,5.34
tree,node,44,5.27
tree,node,46,6.12
tree,node,48,5.52
