Algorithm, Allocation, Processes, MessageSize, Latency
${algorithm},core,2,1,0.20
${algorithm},core,2,2,0.21
${algorithm},core,2,4,0.22
${algorithm},core,2,8,0.21
${algorithm},core,2,16,0.21
${algorithm},core,2,32,0.26
${algorithm},core,2,64,0.27
${algorithm},core,2,128,0.32
${algorithm},core,2,256,0.34
${algorithm},core,2,512,0.36
${algorithm},core,2,1024,0.44
${algorithm},core,2,2048,0.56
${algorithm},core,2,4096,0.84
${algorithm},core,2,8192,1.34
${algorithm},core,2,16384,3.01
${algorithm},core,2,32768,5.13
${algorithm},core,2,65536,6.59
${algorithm},core,2,131072,9.79
${algorithm},core,2,262144,15.78
${algorithm},core,2,524288,29.76
${algorithm},core,2,1048576,62.29
${algorithm},core,3,1,0.40
${algorithm},core,3,2,0.40
${algorithm},core,3,4,0.39
${algorithm},core,3,8,0.40
${algorithm},core,3,16,0.40
${algorithm},core,3,32,0.43
${algorithm},core,3,64,0.42
${algorithm},core,3,128,0.50
${algorithm},core,3,256,0.56
${algorithm},core,3,512,0.58
${algorithm},core,3,1024,0.77
${algorithm},core,3,2048,0.97
${algorithm},core,3,4096,1.44
${algorithm},core,3,8192,2.15
${algorithm},core,3,16384,4.72
${algorithm},core,3,32768,7.75
${algorithm},core,3,65536,11.32
${algorithm},core,3,131072,18.20
${algorithm},core,3,262144,31.79
${algorithm},core,3,524288,61.13
${algorithm},core,3,1048576,121.22
${algorithm},core,4,1,0.32
${algorithm},core,4,2,0.33
${algorithm},core,4,4,0.33
${algorithm},core,4,8,0.33
${algorithm},core,4,16,0.33
${algorithm},core,4,32,0.39
${algorithm},core,4,64,0.38
${algorithm},core,4,128,0.55
${algorithm},core,4,256,0.57
${algorithm},core,4,512,0.61
${algorithm},core,4,1024,0.82
${algorithm},core,4,2048,1.11
${algorithm},core,4,4096,1.72
${algorithm},core,4,8192,2.69
${algorithm},core,4,16384,6.78
${algorithm},core,4,32768,11.12
${algorithm},core,4,65536,16.32
${algorithm},core,4,131072,27.16
${algorithm},core,4,262144,48.86
${algorithm},core,4,524288,96.69
${algorithm},core,4,1048576,188.77
${algorithm},core,5,1,0.54
${algorithm},core,5,2,0.52
${algorithm},core,5,4,0.52
${algorithm},core,5,8,0.51
${algorithm},core,5,16,0.49
${algorithm},core,5,32,0.57
${algorithm},core,5,64,0.55
${algorithm},core,5,128,0.78
${algorithm},core,5,256,0.82
${algorithm},core,5,512,0.88
${algorithm},core,5,1024,1.10
${algorithm},core,5,2048,1.46
${algorithm},core,5,4096,2.16
${algorithm},core,5,8192,3.33
${algorithm},core,5,16384,8.52
${algorithm},core,5,32768,12.49
${algorithm},core,5,65536,20.91
