Algorithm, Allocation, Processes, MessageSize, Latency
binary_tree,core,2,1,0.20
binary_tree,core,2,2,0.21
binary_tree,core,2,4,0.21
binary_tree,core,2,8,0.19
binary_tree,core,2,16,0.20
binary_tree,core,2,32,0.24
binary_tree,core,2,64,0.24
binary_tree,core,2,128,0.30
binary_tree,core,2,256,0.33
binary_tree,core,2,512,0.35
binary_tree,core,2,1024,0.43
binary_tree,core,2,2048,0.54
binary_tree,core,2,4096,0.83
binary_tree,core,2,8192,1.32
binary_tree,core,2,16384,3.10
binary_tree,core,2,32768,5.24
binary_tree,core,2,65536,6.73
binary_tree,core,2,131072,10.04
binary_tree,core,2,262144,16.03
binary_tree,core,2,524288,30.11
binary_tree,core,2,1048576,62.52
binary_tree,core,3,1,0.42
binary_tree,core,3,2,0.42
binary_tree,core,3,4,0.42
binary_tree,core,3,8,0.42
binary_tree,core,3,16,0.42
binary_tree,core,3,32,0.45
binary_tree,core,3,64,0.44
binary_tree,core,3,128,0.53
binary_tree,core,3,256,0.59
binary_tree,core,3,512,0.59
binary_tree,core,3,1024,0.79
binary_tree,core,3,2048,0.98
binary_tree,core,3,4096,1.45
binary_tree,core,3,8192,2.15
binary_tree,core,3,16384,4.72
binary_tree,core,3,32768,7.70
binary_tree,core,3,65536,11.63
binary_tree,core,3,131072,18.51
binary_tree,core,3,262144,32.23
binary_tree,core,3,524288,61.40
binary_tree,core,3,1048576,124.80
binary_tree,core,4,1,0.37
binary_tree,core,4,2,0.36
binary_tree,core,4,4,0.35
binary_tree,core,4,8,0.36
binary_tree,core,4,16,0.35
binary_tree,core,4,32,0.40
binary_tree,core,4,64,0.39
binary_tree,core,4,128,0.60
binary_tree,core,4,256,0.63
binary_tree,core,4,512,0.67
binary_tree,core,4,1024,0.92
binary_tree,core,4,2048,1.21
binary_tree,core,4,4096,1.83
binary_tree,core,4,8192,2.73
binary_tree,core,4,16384,6.81
binary_tree,core,4,32768,10.98
binary_tree,core,4,65536,16.23
binary_tree,core,4,131072,26.82
