Algorithm,Allocation,Processes,MessageSize,Latency
binary_tree,core,2,1,0.21
binary_tree,core,2,2,0.23
binary_tree,core,2,4,0.22
binary_tree,core,2,8,0.21
binary_tree,core,2,16,0.22
binary_tree,core,2,32,0.26
binary_tree,core,2,64,0.26
binary_tree,core,2,128,0.32
binary_tree,core,2,256,0.35
binary_tree,core,2,512,0.37
binary_tree,core,2,1024,0.44
binary_tree,core,2,2048,0.57
binary_tree,core,2,4096,0.86
binary_tree,core,2,8192,1.36
binary_tree,core,2,16384,3.04
binary_tree,core,2,32768,5.24
binary_tree,core,2,65536,6.70
binary_tree,core,2,131072,10.13
binary_tree,core,2,262144,15.73
binary_tree,core,2,524288,29.30
binary_tree,core,2,1048576,63.63
binary_tree,core,3,1,0.41
binary_tree,core,3,2,0.41
binary_tree,core,3,4,0.40
binary_tree,core,3,8,0.41
binary_tree,core,3,16,0.40
binary_tree,core,3,32,0.44
binary_tree,core,3,64,0.43
binary_tree,core,3,128,0.51
binary_tree,core,3,256,0.56
binary_tree,core,3,512,0.59
binary_tree,core,3,1024,0.78
binary_tree,core,3,2048,0.98
binary_tree,core,3,4096,1.48
binary_tree,core,3,8192,2.18
binary_tree,core,3,16384,4.75
binary_tree,core,3,32768,7.95
binary_tree,core,3,65536,11.43
binary_tree,core,3,131072,18.19
binary_tree,core,3,262144,31.41
binary_tree,core,3,524288,59.45
binary_tree,core,3,1048576,115.46
binary_tree,core,4,1,0.35
binary_tree,core,4,2,0.34
binary_tree,core,4,4,0.34
binary_tree,core,4,8,0.34
binary_tree,core,4,16,0.35
binary_tree,core,4,32,0.40
binary_tree,core,4,64,0.38
binary_tree,core,4,128,0.57
binary_tree,core,4,256,0.59
binary_tree,core,4,512,0.63
binary_tree,core,4,1024,0.84
binary_tree,core,4,2048,1.15
binary_tree,core,4,4096,1.78
binary_tree,core,4,8192,2.78
binary_tree,core,4,16384,6.69
binary_tree,core,4,32768,11.15
binary_tree,core,4,65536,16.27
binary_tree,core,4,131072,28.08
binary_tree,core,4,262144,49.91
binary_tree,core,4,524288,91.66
binary_tree,core,4,1048576,176.77
binary_tree,core,5,1,0.44
binary_tree,core,5,2,0.42
binary_tree,core,5,4,0.42
binary_tree,core,5,8,0.43
binary_tree,core,5,16,0.42
binary_tree,core,5,32,0.51
binary_tree,core,5,64,0.50
binary_tree,core,5,128,0.68
binary_tree,core,5,256,0.71
binary_tree,core,5,512,0.76
binary_tree,core,5,1024,1.01
binary_tree,core,5,2048,1.40
binary_tree,core,5,4096,2.24
binary_tree,core,5,8192,3.36
binary_tree,core,5,16384,8.76
binary_tree,core,5,32768,13.07
binary_tree,core,5,65536,21.09
binary_tree,core,5,131072,36.87
binary_tree,core,5,262144,68.95
binary_tree,core,5,524288,128.73
binary_tree,core,5,1048576,245.77
binary_tree,core,6,1,0.50
binary_tree,core,6,2,0.49
binary_tree,core,6,4,0.49
binary_tree,core,6,8,0.51
binary_tree,core,6,16,0.50
binary_tree,core,6,32,0.70
binary_tree,core,6,64,0.59
binary_tree,core,6,128,0.83
binary_tree,core,6,256,0.88
binary_tree,core,6,512,0.93
binary_tree,core,6,1024,1.21
binary_tree,core,6,2048,1.68
binary_tree,core,6,4096,2.46
binary_tree,core,6,8192,3.77
binary_tree,core,6,16384,9.42
binary_tree,core,6,32768,14.59
binary_tree,core,6,65536,23.99
