Algorithm, Allocation, Processes, MessageSize, Latency
${algorithm},core,2,1,0.21
${algorithm},core,2,2,0.22
${algorithm},core,2,4,0.22
${algorithm},core,2,8,0.22
${algorithm},core,2,16,0.22
${algorithm},core,2,32,0.27
${algorithm},core,2,64,0.25
${algorithm},core,2,128,0.33
${algorithm},core,2,256,0.34
${algorithm},core,2,512,0.37
${algorithm},core,2,1024,0.44
${algorithm},core,2,2048,0.56
${algorithm},core,2,4096,0.85
${algorithm},core,2,8192,1.35
${algorithm},core,2,16384,3.02
${algorithm},core,2,32768,5.13
${algorithm},core,2,65536,6.65
${algorithm},core,2,131072,9.85
${algorithm},core,2,262144,15.66
${algorithm},core,2,524288,29.90
${algorithm},core,2,1048576,64.26
${algorithm},core,3,1,0.40
${algorithm},core,3,2,0.40
${algorithm},core,3,4,0.40
${algorithm},core,3,8,0.40
${algorithm},core,3,16,0.40
${algorithm},core,3,32,0.42
${algorithm},core,3,64,0.43
${algorithm},core,3,128,0.52
${algorithm},core,3,256,0.53
${algorithm},core,3,512,0.60
${algorithm},core,3,1024,0.76
${algorithm},core,3,2048,0.99
${algorithm},core,3,4096,1.44
${algorithm},core,3,8192,2.16
${algorithm},core,3,16384,4.62
${algorithm},core,3,32768,7.73
${algorithm},core,3,65536,11.61
${algorithm},core,3,131072,19.12
${algorithm},core,3,262144,34.25
${algorithm},core,3,524288,64.66
${algorithm},core,3,1048576,130.19
${algorithm},core,4,1,0.22
${algorithm},core,4,2,0.23
${algorithm},core,4,4,0.22
${algorithm},core,4,8,0.22
${algorithm},core,4,16,0.22
${algorithm},core,4,32,0.29
${algorithm},core,4,64,0.28
${algorithm},core,4,128,0.44
${algorithm},core,4,256,0.46
${algorithm},core,4,512,0.52
${algorithm},core,4,1024,0.72
${algorithm},core,4,2048,1.04
${algorithm},core,4,4096,1.65
${algorithm},core,4,8192,2.52
${algorithm},core,4,16384,5.57
${algorithm},core,4,32768,8.78
${algorithm},core,4,65536,14.31
${algorithm},core,4,131072,25.94
${algorithm},core,4,262144,52.59
${algorithm},core,4,524288,106.99
${algorithm},core,4,1048576,216.01
${algorithm},core,5,1,0.27
${algorithm},core,5,2,0.27
${algorithm},core,5,4,0.29
${algorithm},core,5,8,0.27
${algorithm},core,5,16,0.28
${algorithm},core,5,32,0.37
${algorithm},core,5,64,0.35
${algorithm},core,5,128,0.58
