Algorithm, Allocation, Processes, MessageSize, Latency
chain,core,2,1,0.21
chain,core,2,2,0.23
chain,core,2,4,0.22
chain,core,2,8,0.21
chain,core,2,16,0.21
chain,core,2,32,0.26
chain,core,2,64,0.25
chain,core,2,128,0.32
chain,core,2,256,0.35
chain,core,2,512,0.36
chain,core,2,1024,0.43
chain,core,2,2048,0.55
chain,core,2,4096,0.86
chain,core,2,8192,1.35
chain,core,2,16384,3.03
chain,core,2,32768,5.21
chain,core,2,65536,6.58
chain,core,2,131072,9.47
chain,core,2,262144,15.19
chain,core,2,524288,27.75
chain,core,2,1048576,60.67
chain,core,3,1,0.41
chain,core,3,2,0.40
chain,core,3,4,0.40
chain,core,3,8,0.41
chain,core,3,16,0.41
chain,core,3,32,0.44
chain,core,3,64,0.44
chain,core,3,128,0.53
chain,core,3,256,0.57
chain,core,3,512,0.60
chain,core,3,1024,0.79
chain,core,3,2048,0.99
chain,core,3,4096,1.48
chain,core,3,8192,2.20
chain,core,3,16384,4.71
chain,core,3,32768,7.65
chain,core,3,65536,11.47
chain,core,3,131072,18.36
chain,core,3,262144,30.98
chain,core,3,524288,59.19
chain,core,3,1048576,117.71
chain,core,4,1,0.21
chain,core,4,2,0.22
chain,core,4,4,0.21
chain,core,4,8,0.22
chain,core,4,16,0.22
chain,core,4,32,0.27
chain,core,4,64,0.26
chain,core,4,128,0.45
chain,core,4,256,0.49
chain,core,4,512,0.53
chain,core,4,1024,0.74
chain,core,4,2048,1.05
chain,core,4,4096,1.69
chain,core,4,8192,2.63
chain,core,4,16384,5.28
chain,core,4,32768,8.31
chain,core,4,65536,13.84
chain,core,4,131072,24.53
chain,core,4,262144,47.25
chain,core,4,524288,92.24
chain,core,4,1048576,192.44
chain,core,5,1,0.28
chain,core,5,2,0.28
chain,core,5,4,0.27
chain,core,5,8,0.28
chain,core,5,16,0.28
chain,core,5,32,0.36
chain,core,5,64,0.36
chain,core,5,128,0.55
chain,core,5,256,0.61
chain,core,5,512,0.66
chain,core,5,1024,0.91
chain,core,5,2048,1.31
chain,core,5,4096,2.06
chain,core,5,8192,3.13
chain,core,5,16384,5.90
chain,core,5,32768,9.89
chain,core,5,65536,18.50
chain,core,5,131072,35.90
chain,core,5,262144,69.78
chain,core,5,524288,140.36
chain,core,5,1048576,233.24
chain,core,6,1,0.94
chain,core,6,2,1.00
chain,core,6,4,0.88
chain,core,6,8,0.79
chain,core,6,16,0.70
chain,core,6,32,0.80
chain,core,6,64,0.74
chain,core,6,128,0.97
chain,core,6,256,1.01
chain,core,6,512,1.03
chain,core,6,1024,1.35
chain,core,6,2048,1.73
chain,core,6,4096,2.66
chain,core,6,8192,3.70
chain,core,6,16384,8.26
chain,core,6,32768,13.16
chain,core,6,65536,23.66
chain,core,6,131072,44.79
chain,core,6,262144,87.42
chain,core,6,524288,165.33
chain,core,6,1048576,336.33
chain,core,7,1,0.44
chain,core,7,2,0.45
chain,core,7,4,0.44
chain,core,7,8,0.45
chain,core,7,16,0.45
chain,core,7,32,0.53
chain,core,7,64,0.54
chain,core,7,128,0.76
chain,core,7,256,0.83
chain,core,7,512,0.88
chain,core,7,1024,1.21
chain,core,7,2048,1.61
chain,core,7,4096,2.47
chain,core,7,8192,3.78
chain,core,7,16384,8.49
chain,core,7,32768,13.67
chain,core,7,65536,24.62
chain,core,7,131072,48.84
chain,core,7,262144,94.23
chain,core,7,524288,183.90
chain,core,7,1048576,350.80
chain,core,8,1,0.59
chain,core,8,2,0.58
chain,core,8,4,0.60
chain,core,8,8,0.59
chain,core,8,16,0.58
chain,core,8,32,0.68
chain,core,8,64,0.70
chain,core,8,128,1.11
chain,core,8,256,1.14
chain,core,8,512,1.18
chain,core,8,1024,1.45
chain,core,8,2048,1.92
chain,core,8,4096,2.87
chain,core,8,8192,4.36
chain,core,8,16384,9.61
chain,core,8,32768,15.49
chain,core,8,65536,27.24
chain,core,8,131072,50.66
chain,core,8,262144,98.44
chain,core,8,524288,175.28
chain,core,8,1048576,303.71
chain,core,9,1,1.01
chain,core,9,2,0.97
chain,core,9,4,0.99
chain,core,9,8,0.98
chain,core,9,16,0.97
chain,core,9,32,1.04
chain,core,9,64,1.06
chain,core,9,128,1.48
chain,core,9,256,1.53
chain,core,9,512,1.53
chain,core,9,1024,1.82
chain,core,9,2048,2.37
chain,core,9,4096,3.33
chain,core,9,8192,4.88
chain,core,9,16384,10.68
chain,core,9,32768,17.11
chain,core,9,65536,29.91
chain,core,9,131072,55.72
chain,core,9,262144,107.87
chain,core,9,524288,205.37
chain,core,9,1048576,397.16
chain,core,10,1,0.93
chain,core,10,2,0.92
chain,core,10,4,0.93
chain,core,10,8,0.91
chain,core,10,16,0.92
chain,core,10,32,1.02
chain,core,10,64,1.01
chain,core,10,128,1.34
chain,core,10,256,1.38
chain,core,10,512,1.47
chain,core,10,1024,1.84
chain,core,10,2048,2.35
chain,core,10,4096,3.42
chain,core,10,8192,5.08
chain,core,10,16384,11.49
chain,core,10,32768,17.96
chain,core,10,65536,31.32
chain,core,10,131072,57.29
chain,core,10,262144,111.83
chain,core,10,524288,215.73
chain,core,10,1048576,404.75
chain,core,11,1,0.98
