Algorithm, Allocation, Processes, MessageSize, Latency
${algorithm},core,2,2,total
${algorithm},core,3,3,total
${algorithm},core,4,4,total
${algorithm},core,5,5,total
${algorithm},core,6,6,total
${algorithm},core,7,7,total
${algorithm},core,8,8,total
${algorithm},core,9,9,total
${algorithm},core,10,10,total
${algorithm},core,11,11,total
${algorithm},core,12,12,total
${algorithm},core,13,13,total
${algorithm},core,14,14,total
${algorithm},core,15,15,total
${algorithm},core,16,16,total
${algorithm},core,17,17,total
${algorithm},core,18,18,total
${algorithm},core,19,19,total
${algorithm},core,20,20,total
${algorithm},core,21,21,total
${algorithm},core,22,22,total
${algorithm},core,23,23,total
${algorithm},core,24,24,total
${algorithm},core,25,25,total
${algorithm},core,26,26,total
${algorithm},core,27,27,total
${algorithm},core,28,28,total
${algorithm},core,29,29,total
${algorithm},core,30,30,total
${algorithm},core,31,31,total
${algorithm},core,32,32,total
${algorithm},core,33,33,total
${algorithm},core,34,34,total
${algorithm},core,35,35,total
${algorithm},core,36,36,total
${algorithm},core,37,37,total
${algorithm},core,38,38,total
${algorithm},core,39,39,total
${algorithm},core,40,40,total
${algorithm},core,41,41,total
${algorithm},core,42,42,total
${algorithm},core,43,43,total
${algorithm},core,44,44,total
${algorithm},core,45,45,total
${algorithm},core,46,46,total
${algorithm},core,47,47,total
${algorithm},core,48,48,total
${algorithm},socket,2,2,total
${algorithm},socket,3,3,total
${algorithm},socket,4,4,total
${algorithm},socket,5,5,total
${algorithm},socket,6,6,total
${algorithm},socket,7,7,total
${algorithm},socket,8,8,total
${algorithm},socket,9,9,total
${algorithm},socket,10,10,total
${algorithm},socket,11,11,total
${algorithm},socket,12,12,total
${algorithm},socket,13,13,total
${algorithm},socket,14,14,total
${algorithm},socket,15,15,total
${algorithm},socket,16,16,total
${algorithm},socket,17,17,total
${algorithm},socket,18,18,total
${algorithm},socket,19,19,total
${algorithm},socket,20,20,total
${algorithm},socket,21,21,total
${algorithm},socket,22,22,total
${algorithm},socket,23,23,total
${algorithm},socket,24,24,total
${algorithm},socket,25,25,total
${algorithm},socket,26,26,total
${algorithm},socket,27,27,total
${algorithm},socket,28,28,total
${algorithm},socket,29,29,total
${algorithm},socket,30,30,total
${algorithm},socket,31,31,total
${algorithm},socket,32,32,total
${algorithm},socket,33,33,total
${algorithm},socket,34,34,total
${algorithm},socket,35,35,total
${algorithm},socket,36,36,total
${algorithm},socket,37,37,total
${algorithm},socket,38,38,total
${algorithm},socket,39,39,total
${algorithm},socket,40,40,total
${algorithm},socket,41,41,total
${algorithm},socket,42,42,total
${algorithm},socket,43,43,total
${algorithm},socket,44,44,total
${algorithm},socket,45,45,total
${algorithm},socket,46,46,total
${algorithm},socket,47,47,total
${algorithm},socket,48,48,total
${algorithm},node,2,2,total
${algorithm},node,3,3,total
${algorithm},node,4,4,total
${algorithm},node,5,5,total
${algorithm},node,6,6,total
${algorithm},node,7,7,total
${algorithm},node,8,8,total
${algorithm},node,9,9,total
${algorithm},node,10,10,total
${algorithm},node,11,11,total
${algorithm},node,12,12,total
${algorithm},node,13,13,total
${algorithm},node,14,14,total
${algorithm},node,15,15,total
${algorithm},node,16,16,total
${algorithm},node,17,17,total
${algorithm},node,18,18,total
${algorithm},node,19,19,total
${algorithm},node,20,20,total
${algorithm},node,21,21,total
${algorithm},node,22,22,total
${algorithm},node,23,23,total
${algorithm},node,24,24,total
${algorithm},node,25,25,total
${algorithm},node,26,26,total
${algorithm},node,27,27,total
${algorithm},node,28,28,total
${algorithm},node,29,29,total
${algorithm},node,30,30,total
${algorithm},node,31,31,total
${algorithm},node,32,32,total
${algorithm},node,33,33,total
${algorithm},node,34,34,total
${algorithm},node,35,35,total
${algorithm},node,36,36,total
${algorithm},node,37,37,total
${algorithm},node,38,38,total
${algorithm},node,39,39,total
${algorithm},node,40,40,total
${algorithm},node,41,41,total
${algorithm},node,42,42,total
${algorithm},node,43,43,total
${algorithm},node,44,44,total
${algorithm},node,45,45,total
${algorithm},node,46,46,total
${algorithm},node,47,47,total
${algorithm},node,48,48,total
