Algorithm, Allocation, Processes, MessageSize, Latency
${algorithm},core,2,1,0.31
${algorithm},core,2,2,0.31
${algorithm},core,2,4,0.31
${algorithm},core,2,8,0.31
${algorithm},core,2,16,0.31
${algorithm},core,2,32,0.37
${algorithm},core,2,64,0.36
${algorithm},core,2,128,0.46
${algorithm},core,2,256,0.49
${algorithm},core,2,512,0.54
${algorithm},core,2,1024,0.61
${algorithm},core,2,2048,0.78
${algorithm},core,2,4096,1.18
${algorithm},core,2,8192,1.72
${algorithm},core,2,16384,4.09
${algorithm},core,2,32768,6.77
${algorithm},core,2,65536,8.47
${algorithm},core,2,131072,10.97
${algorithm},core,2,262144,15.93
${algorithm},core,2,524288,29.75
${algorithm},core,2,1048576,61.56
${algorithm},core,3,1,0.49
${algorithm},core,3,2,0.48
${algorithm},core,3,4,0.49
${algorithm},core,3,8,0.49
${algorithm},core,3,16,0.49
${algorithm},core,3,32,0.43
${algorithm},core,3,64,0.41
${algorithm},core,3,128,0.53
${algorithm},core,3,256,0.70
${algorithm},core,3,512,0.59
${algorithm},core,3,1024,0.75
${algorithm},core,3,2048,0.95
${algorithm},core,3,4096,1.43
${algorithm},core,3,8192,2.14
${algorithm},core,3,16384,4.74
${algorithm},core,3,32768,7.71
${algorithm},core,3,65536,11.72
${algorithm},core,3,131072,25.82
${algorithm},core,3,262144,33.23
${algorithm},core,3,524288,63.63
${algorithm},core,3,1048576,127.63
${algorithm},core,4,1,0.32
${algorithm},core,4,2,0.32
${algorithm},core,4,4,0.31
${algorithm},core,4,8,0.31
${algorithm},core,4,16,0.31
${algorithm},core,4,32,0.37
${algorithm},core,4,64,0.36
${algorithm},core,4,128,0.54
${algorithm},core,4,256,0.57
${algorithm},core,4,512,0.61
${algorithm},core,4,1024,0.82
${algorithm},core,4,2048,1.12
${algorithm},core,4,4096,1.85
${algorithm},core,4,8192,2.72
${algorithm},core,4,16384,5.55
${algorithm},core,4,32768,9.12
${algorithm},core,4,65536,14.84
${algorithm},core,4,131072,27.06
${algorithm},core,4,262144,53.55
${algorithm},core,4,524288,107.01
${algorithm},core,4,1048576,241.19
${algorithm},core,5,1,0.42
${algorithm},core,5,2,0.42
${algorithm},core,5,4,0.42
${algorithm},core,5,8,0.42
${algorithm},core,5,16,0.43
${algorithm},core,5,32,0.51
${algorithm},core,5,64,0.41
${algorithm},core,5,128,0.70
${algorithm},core,5,256,0.75
${algorithm},core,5,512,0.82
${algorithm},core,5,1024,1.06
${algorithm},core,5,2048,1.27
${algorithm},core,5,4096,1.95
${algorithm},core,5,8192,3.02
${algorithm},core,5,16384,6.19
${algorithm},core,5,32768,10.58
${algorithm},core,5,65536,19.66
${algorithm},core,5,131072,38.10
${algorithm},core,5,262144,75.20
${algorithm},core,5,524288,146.62
${algorithm},core,5,1048576,341.13
${algorithm},core,6,1,0.50
${algorithm},core,6,2,0.49
${algorithm},core,6,4,0.50
${algorithm},core,6,8,0.49
${algorithm},core,6,16,0.49
${algorithm},core,6,32,0.59
${algorithm},core,6,64,0.52
${algorithm},core,6,128,0.83
${algorithm},core,6,256,0.87
${algorithm},core,6,512,0.93
${algorithm},core,6,1024,1.18
${algorithm},core,6,2048,1.55
${algorithm},core,6,4096,2.35
${algorithm},core,6,8192,3.52
${algorithm},core,6,16384,6.88
${algorithm},core,6,32768,11.39
${algorithm},core,6,65536,21.71
${algorithm},core,6,131072,42.78
${algorithm},core,6,262144,85.84
${algorithm},core,6,524288,169.15
${algorithm},core,6,1048576,411.31
${algorithm},core,7,1,0.62
${algorithm},core,7,2,0.61
${algorithm},core,7,4,0.64
${algorithm},core,7,8,0.60
${algorithm},core,7,16,0.61
${algorithm},core,7,32,0.73
${algorithm},core,7,64,0.67
${algorithm},core,7,128,0.98
${algorithm},core,7,256,1.03
${algorithm},core,7,512,1.07
${algorithm},core,7,1024,1.34
${algorithm},core,7,2048,1.70
${algorithm},core,7,4096,2.56
${algorithm},core,7,8192,3.98
${algorithm},core,7,16384,7.90
${algorithm},core,7,32768,13.27
${algorithm},core,7,65536,25.32
${algorithm},core,7,131072,50.31
${algorithm},core,7,262144,101.03
${algorithm},core,7,524288,198.05
${algorithm},core,7,1048576,479.04
${algorithm},core,8,1,0.59
${algorithm},core,8,2,0.59
