Algorithm,Allocation,Processes,MessageSize,Latency
linear,core,2,1,0.18
linear,core,2,2,0.20
linear,core,2,4,0.19
linear,core,2,8,0.19
linear,core,2,16,0.18
linear,core,2,32,0.25
linear,core,2,64,0.25
linear,core,2,128,0.30
linear,core,2,256,0.31
linear,core,2,512,0.35
linear,core,2,1024,0.43
linear,core,2,2048,0.52
linear,core,2,4096,0.83
linear,core,2,8192,1.33
linear,core,2,16384,3.02
linear,core,2,32768,5.30
linear,core,2,65536,6.80
linear,core,2,131072,9.91
linear,core,2,262144,15.88
linear,core,2,524288,29.44
linear,core,2,1048576,62.50
linear,core,3,1,0.36
linear,core,3,2,0.36
linear,core,3,4,0.36
linear,core,3,8,0.36
linear,core,3,16,0.36
linear,core,3,32,0.41
linear,core,3,64,0.39
linear,core,3,128,0.51
linear,core,3,256,0.52
linear,core,3,512,0.58
linear,core,3,1024,0.74
linear,core,3,2048,0.97
linear,core,3,4096,1.45
linear,core,3,8192,2.19
linear,core,3,16384,4.72
linear,core,3,32768,8.05
linear,core,3,65536,11.64
linear,core,3,131072,18.27
linear,core,3,262144,32.41
linear,core,3,524288,60.24
linear,core,3,1048576,126.28
linear,core,4,1,0.19
linear,core,4,2,0.20
linear,core,4,4,0.20
linear,core,4,8,0.19
linear,core,4,16,0.20
linear,core,4,32,0.26
linear,core,4,64,0.26
linear,core,4,128,0.46
linear,core,4,256,0.50
linear,core,4,512,0.53
linear,core,4,1024,0.72
linear,core,4,2048,1.04
linear,core,4,4096,1.67
linear,core,4,8192,2.59
linear,core,4,16384,5.23
linear,core,4,32768,8.54
linear,core,4,65536,14.25
linear,core,4,131072,25.44
linear,core,4,262144,51.66
linear,core,4,524288,103.30
linear,core,4,1048576,215.47
linear,core,5,1,0.26
linear,core,5,2,0.27
linear,core,5,4,0.27
linear,core,5,8,0.26
linear,core,5,16,0.27
linear,core,5,32,0.36
linear,core,5,64,0.34
linear,core,5,128,0.55
linear,core,5,256,0.60
linear,core,5,512,0.63
linear,core,5,1024,0.91
linear,core,5,2048,1.28
linear,core,5,4096,2.05
linear,core,5,8192,3.11
linear,core,5,16384,6.28
linear,core,5,32768,10.29
linear,core,5,65536,19.19
linear,core,5,131072,36.87
linear,core,5,262144,72.60
linear,core,5,524288,143.82
linear,core,5,1048576,284.02
linear,core,6,1,0.31
linear,core,6,2,0.31
linear,core,6,4,0.31
linear,core,6,8,0.32
linear,core,6,16,0.32
linear,core,6,32,0.42
linear,core,6,64,0.40
linear,core,6,128,0.70
linear,core,6,256,0.75
linear,core,6,512,0.77
linear,core,6,1024,1.08
linear,core,6,2048,1.53
linear,core,6,4096,2.41
linear,core,6,8192,3.63
linear,core,6,16384,7.14
linear,core,6,32768,11.34
linear,core,6,65536,21.87
linear,core,6,131072,42.99
linear,core,6,262144,84.33
linear,core,6,524288,167.15
linear,core,6,1048576,319.80
linear,core,7,1,0.35
linear,core,7,2,0.36
