CPU_Pair,MessageSize,Latency
0,1,#,Datatype:
0,1,1,0.19
0,2,#,Datatype:
0,2,1,0.19
0,3,#,Datatype:
0,3,1,0.19
0,4,#,Datatype:
0,4,1,0.19
0,5,#,Datatype:
0,5,1,0.18
0,6,#,Datatype:
0,6,1,0.19
0,7,#,Datatype:
0,7,1,0.18
0,8,#,Datatype:
0,8,1,0.19
0,9,#,Datatype:
0,9,1,0.20
0,10,#,Datatype:
0,10,1,0.19
0,11,#,Datatype:
0,11,1,0.19
0,12,#,Datatype:
0,12,1,12319.49
0,13,#,Datatype:
0,13,1,12441.14
0,14,#,Datatype:
0,14,1,12428.11
0,15,#,Datatype:
0,15,1,12509.14
0,16,#,Datatype:
0,16,1,12451.11
0,17,#,Datatype:
0,17,1,12231.00
0,18,#,Datatype:
0,18,1,11398.63
0,19,#,Datatype:
0,19,1,12387.63
0,20,#,Datatype:
0,20,1,12086.64
