Start_CPU,End_CPU,MessageSize,Latency
0,1,1,0.19
0,2,1,0.20
0,3,1,0.19
0,4,1,0.20
0,5,1,0.19
0,6,1,0.19
0,7,1,0.20
0,8,1,0.19
0,9,1,0.19
0,10,1,0.18
0,11,1,12262.85
0,12,1,12759.10
0,13,1,13183.67
0,14,1,13246.04
0,15,1,12495.10
0,16,1,12436.14
0,17,1,12423.11
0,18,1,12765.00
0,19,1,12118.60
0,20,1,13343.10
0,21,1,11915.27
0,22,1,0.19
0,22,2,0.19
0,22,4,0.19
0,22,8,0.19
0,22,16,0.19
0,22,32,0.24
0,22,64,0.23
0,22,128,0.34
0,22,256,0.38
0,22,512,0.44
0,22,1024,0.56
0,22,2048,0.76
0,22,4096,1.22
0,22,8192,2.05
0,22,16384,3.18
0,22,32768,5.04
0,22,65536,8.46
0,22,131072,15.07
0,22,262144,16.30
0,22,524288,29.76
0,22,1048576,62.46
0,22,2097152,156.41
