Threads, Time (seconds)
128, Running with 128 MPI processes.
Process 105 finished computations at 35.8272 seconds.
Process 106 finished computations at 35.9358 seconds.
Process 0 finished computations at 35.9362 seconds.
Process 107 finished computations at 35.9426 seconds.
Process 104 finished computations at 36.0213 seconds.
Process 103 finished computations at 36.0277 seconds.
Process 1 finished computations at 36.0718 seconds.
Process 108 finished computations at 36.0964 seconds.
Process 127 finished computations at 36.0994 seconds.
Process 102 finished computations at 36.1092 seconds.
Process 110 finished computations at 36.1428 seconds.
Process 100 finished computations at 36.1908 seconds.
Process 109 finished computations at 36.1931 seconds.
Process 111 finished computations at 36.1978 seconds.
Process 30 finished computations at 36.2152 seconds.
Process 112 finished computations at 36.2357 seconds.
Process 38 finished computations at 36.2396 seconds.
Process 101 finished computations at 36.2478 seconds.
Process 2 finished computations at 36.2499 seconds.
Process 29 finished computations at 36.281 seconds.
Process 27 finished computations at 36.2871 seconds.
Process 28 finished computations at 36.2906 seconds.
Process 126 finished computations at 36.299 seconds.
Process 3 finished computations at 36.3137 seconds.
Process 24 finished computations at 36.316 seconds.
Process 31 finished computations at 36.323 seconds.
Process 116 finished computations at 36.3381 seconds.
Process 35 finished computations at 36.3449 seconds.
Process 26 finished computations at 36.354 seconds.
Process 4 finished computations at 36.3558 seconds.
Process 40 finished computations at 36.3568 seconds.
Process 41 finished computations at 36.3685 seconds.
Process 37 finished computations at 36.369 seconds.
Process 99 finished computations at 36.3706 seconds.
Process 42 finished computations at 36.374 seconds.
Process 36 finished computations at 36.3735 seconds.
Process 125 finished computations at 36.3827 seconds.
Process 18 finished computations at 36.3868 seconds.
Process 98 finished computations at 36.3936 seconds.
Process 34 finished computations at 36.3993 seconds.
Process 39 finished computations at 36.4009 seconds.
Process 113 finished computations at 36.4165 seconds.
Process 20 finished computations at 36.4216 seconds.
Process 43 finished computations at 36.4409 seconds.
Process 33 finished computations at 36.4495 seconds.
Process 124 finished computations at 36.4508 seconds.
Process 114 finished computations at 36.45 seconds.
Process 32 finished computations at 36.463 seconds.
Process 115 finished computations at 36.4734 seconds.
Process 21 finished computations at 36.4744 seconds.
Process 22 finished computations at 36.4755 seconds.
Process 6 finished computations at 36.4949 seconds.
Process 19 finished computations at 36.4979 seconds.
Process 60 finished computations at 36.5034 seconds.
Process 122 finished computations at 36.5116 seconds.
Process 23 finished computations at 36.5188 seconds.
Process 5 finished computations at 36.5253 seconds.
Process 96 finished computations at 36.5281 seconds.
Process 123 finished computations at 36.5397 seconds.
Process 51 finished computations at 36.5437 seconds.
Process 61 finished computations at 36.5502 seconds.
Process 117 finished computations at 36.5495 seconds.
Process 62 finished computations at 36.5512 seconds.
Process 25 finished computations at 36.5609 seconds.
Process 44 finished computations at 36.562 seconds.
Process 7 finished computations at 36.5799 seconds.
Process 118 finished computations at 36.5867 seconds.
Process 63 finished computations at 36.587 seconds.
Process 121 finished computations at 36.5884 seconds.
Process 58 finished computations at 36.5969 seconds.
Process 52 finished computations at 36.6012 seconds.
Process 14 finished computations at 36.6102 seconds.
Process 13 finished computations at 36.6199 seconds.
Process 16 finished computations at 36.6199 seconds.
Process 53 finished computations at 36.6215 seconds.
Process 93 finished computations at 36.6242 seconds.
Process 94 finished computations at 36.6297 seconds.
Process 59 finished computations at 36.6402 seconds.
Process 95 finished computations at 36.6422 seconds.
Process 54 finished computations at 36.6419 seconds.
Process 45 finished computations at 36.6728 seconds.
