Running with 256 threads...
Resolution of 4096 x 4096
256, Running with 256 MPI processes.
Process 237 finished computations at 16.6948 seconds.
Process 239 finished computations at 16.696 seconds.
Process 240 finished computations at 16.7471 seconds.
Process 236 finished computations at 16.7687 seconds.
Process 238 finished computations at 16.794 seconds.
Process 235 finished computations at 16.7999 seconds.
Process 255 finished computations at 16.8008 seconds.
Process 254 finished computations at 16.8399 seconds.
Process 233 finished computations at 16.8413 seconds.
Process 241 finished computations at 16.8663 seconds.
Process 234 finished computations at 16.8642 seconds.
Process 242 finished computations at 16.8675 seconds.
Process 232 finished computations at 16.9582 seconds.
Process 243 finished computations at 16.958 seconds.
Process 253 finished computations at 16.9738 seconds.
Process 249 finished computations at 16.9824 seconds.
Process 252 finished computations at 17.0034 seconds.
Process 244 finished computations at 17.009 seconds.
Process 250 finished computations at 17.0236 seconds.
Process 230 finished computations at 17.0482 seconds.
Process 251 finished computations at 17.0503 seconds.
Process 0 finished computations at 17.0549 seconds.
Process 226 finished computations at 17.0701 seconds.
Process 231 finished computations at 17.0727 seconds.
Process 245 finished computations at 17.0821 seconds.
Process 246 finished computations at 17.0917 seconds.
Process 227 finished computations at 17.1049 seconds.
Process 229 finished computations at 17.1464 seconds.
Process 248 finished computations at 17.1461 seconds.
Process 228 finished computations at 17.1809 seconds.
Process 225 finished computations at 17.1809 seconds.
Process 247 finished computations at 17.1838 seconds.
Process 1 finished computations at 17.227 seconds.
Process 2 finished computations at 17.2649 seconds.
Process 224 finished computations at 17.3067 seconds.
Process 209 finished computations at 17.344 seconds.
Process 203 finished computations at 17.3812 seconds.
Process 210 finished computations at 17.4005 seconds.
Process 211 finished computations at 17.4072 seconds.
Process 208 finished computations at 17.4089 seconds.
Process 3 finished computations at 17.427 seconds.
Process 221 finished computations at 17.4307 seconds.
Process 223 finished computations at 17.4399 seconds.
Process 205 finished computations at 17.4431 seconds.
Process 222 finished computations at 17.4568 seconds.
Process 200 finished computations at 17.4612 seconds.
Process 199 finished computations at 17.4769 seconds.
Process 206 finished computations at 17.4955 seconds.
Process 202 finished computations at 17.4998 seconds.
Process 220 finished computations at 17.5117 seconds.
Process 219 finished computations at 17.522 seconds.
Process 204 finished computations at 17.524 seconds.
Process 201 finished computations at 17.5267 seconds.
Process 207 finished computations at 17.5379 seconds.
Process 212 finished computations at 17.5451 seconds.
Process 216 finished computations at 17.5796 seconds.
Process 218 finished computations at 17.5859 seconds.
Process 217 finished computations at 17.5959 seconds.
Process 4 finished computations at 17.6065 seconds.
Process 193 finished computations at 17.6108 seconds.
Process 214 finished computations at 17.6384 seconds.
Process 179 finished computations at 17.6472 seconds.
Process 198 finished computations at 17.6478 seconds.
Process 168 finished computations at 17.6531 seconds.
Process 197 finished computations at 17.6627 seconds.
Process 169 finished computations at 17.6608 seconds.
Process 192 finished computations at 17.6642 seconds.
Process 213 finished computations at 17.6679 seconds.
Process 215 finished computations at 17.6746 seconds.
Process 170 finished computations at 17.676 seconds.
Process 171 finished computations at 17.6833 seconds.
Process 188 finished computations at 17.6845 seconds.
Process 194 finished computations at 17.6843 seconds.
Process 195 finished computations at 17.6915 seconds.
Process 189 finished computations at 17.6978 seconds.
Process 187 finished computations at 17.7089 seconds.
Process 184 finished computations at 17.7099 seconds.
Process 5 finished computations at 17.7259 seconds.
