Threads, Time (seconds)
With OMP off...
256, Running with 256 MPI processes.
Process 240 finished computations at 16.711 seconds.
Process 237 finished computations at 16.7384 seconds.
Process 241 finished computations at 16.7385 seconds.
Process 235 finished computations at 16.788 seconds.
Process 255 finished computations at 16.8061 seconds.
Process 236 finished computations at 16.8091 seconds.
Process 238 finished computations at 16.8191 seconds.
Process 254 finished computations at 16.8258 seconds.
Process 239 finished computations at 16.839 seconds.
Process 233 finished computations at 16.8549 seconds.
Process 252 finished computations at 16.8667 seconds.
Process 234 finished computations at 16.8818 seconds.
Process 242 finished computations at 16.8761 seconds.
Process 250 finished computations at 16.8978 seconds.
Process 232 finished computations at 16.949 seconds.
Process 243 finished computations at 16.9559 seconds.
Process 253 finished computations at 16.9625 seconds.
Process 0 finished computations at 17.0219 seconds.
Process 249 finished computations at 17.0305 seconds.
Process 245 finished computations at 17.0306 seconds.
Process 251 finished computations at 17.0523 seconds.
Process 247 finished computations at 17.0737 seconds.
Process 231 finished computations at 17.0838 seconds.
Process 229 finished computations at 17.097 seconds.
Process 244 finished computations at 17.0989 seconds.
Process 246 finished computations at 17.0991 seconds.
Process 230 finished computations at 17.1095 seconds.
Process 226 finished computations at 17.1158 seconds.
Process 248 finished computations at 17.1199 seconds.
Process 228 finished computations at 17.1936 seconds.
Process 227 finished computations at 17.1961 seconds.
Process 1 finished computations at 17.2031 seconds.
Process 225 finished computations at 17.2168 seconds.
Process 224 finished computations at 17.3245 seconds.
Process 2 finished computations at 17.3457 seconds.
Process 223 finished computations at 17.4045 seconds.
Process 3 finished computations at 17.4112 seconds.
Process 211 finished computations at 17.4128 seconds.
Process 208 finished computations at 17.4236 seconds.
Process 203 finished computations at 17.4327 seconds.
Process 221 finished computations at 17.4335 seconds.
Process 209 finished computations at 17.4489 seconds.
Process 222 finished computations at 17.458 seconds.
Process 210 finished computations at 17.4775 seconds.
Process 216 finished computations at 17.4786 seconds.
Process 220 finished computations at 17.4846 seconds.
Process 206 finished computations at 17.5024 seconds.
Process 205 finished computations at 17.5062 seconds.
Process 202 finished computations at 17.5022 seconds.
Process 207 finished computations at 17.5255 seconds.
Process 219 finished computations at 17.5258 seconds.
Process 201 finished computations at 17.5326 seconds.
Process 204 finished computations at 17.5353 seconds.
Process 200 finished computations at 17.5351 seconds.
Process 212 finished computations at 17.5781 seconds.
Process 217 finished computations at 17.588 seconds.
Process 218 finished computations at 17.6054 seconds.
Process 194 finished computations at 17.6093 seconds.
Process 199 finished computations at 17.611 seconds.
Process 192 finished computations at 17.6204 seconds.
Process 169 finished computations at 17.6331 seconds.
Process 214 finished computations at 17.6363 seconds.
Process 4 finished computations at 17.6406 seconds.
Process 213 finished computations at 17.6443 seconds.
Process 196 finished computations at 17.6544 seconds.
Process 179 finished computations at 17.6566 seconds.
Process 170 finished computations at 17.661 seconds.
Process 215 finished computations at 17.6756 seconds.
Process 168 finished computations at 17.6782 seconds.
Process 193 finished computations at 17.6774 seconds.
Process 198 finished computations at 17.6825 seconds.
Process 184 finished computations at 17.6847 seconds.
Process 171 finished computations at 17.6788 seconds.
Process 178 finished computations at 17.6896 seconds.
Process 189 finished computations at 17.6931 seconds.
Process 188 finished computations at 17.695 seconds.
Process 180 finished computations at 17.6953 seconds.
Process 187 finished computations at 17.7165 seconds.
Process 185 finished computations at 17.734 seconds.
Process 186 finished computations at 17.7345 seconds.
Process 5 finished computations at 17.738 seconds.
Process 197 finished computations at 17.7458 seconds.
Process 190 finished computations at 17.7456 seconds.
Process 182 finished computations at 17.7539 seconds.
Process 176 finished computations at 17.7604 seconds.
Process 191 finished computations at 17.7589 seconds.
Process 181 finished computations at 17.7608 seconds.
Process 195 finished computations at 17.7438 seconds.
Process 166 finished computations at 17.7781 seconds.
Process 177 finished computations at 17.7806 seconds.
Process 167 finished computations at 17.7681 seconds.
Process 172 finished computations at 17.7814 seconds.
Process 7 finished computations at 17.7906 seconds.
Process 183 finished computations at 17.7992 seconds.
Process 173 finished computations at 17.8016 seconds.
Process 8 finished computations at 17.8185 seconds.
Process 165 finished computations at 17.8228 seconds.
Process 174 finished computations at 17.8255 seconds.
Process 6 finished computations at 17.8427 seconds.
Process 175 finished computations at 17.8601 seconds.
Process 162 finished computations at 17.8623 seconds.
Process 9 finished computations at 17.8953 seconds.
Process 163 finished computations at 17.9029 seconds.
Process 164 finished computations at 17.9107 seconds.
Process 160 finished computations at 17.9825 seconds.
Process 10 finished computations at 17.9736 seconds.
