Threads, Time (seconds)
128, Running with 128 MPI processes.
Process 0 finished computations at 36.3214 seconds.
Process 105 finished computations at 36.3735 seconds.
Process 107 finished computations at 36.4123 seconds.
Process 106 finished computations at 36.4711 seconds.
Process 108 finished computations at 36.5047 seconds.
Process 1 finished computations at 36.5096 seconds.
Process 104 finished computations at 36.5208 seconds.
Process 103 finished computations at 36.5402 seconds.
Process 102 finished computations at 36.5655 seconds.
Process 127 finished computations at 36.5837 seconds.
Process 101 finished computations at 36.6232 seconds.
Process 109 finished computations at 36.6386 seconds.
Process 29 finished computations at 36.6566 seconds.
Process 110 finished computations at 36.6758 seconds.
Process 27 finished computations at 36.6813 seconds.
Process 28 finished computations at 36.6909 seconds.
Process 100 finished computations at 36.6955 seconds.
Process 2 finished computations at 36.7042 seconds.
Process 38 finished computations at 36.7234 seconds.
Process 33 finished computations at 36.7371 seconds.
Process 31 finished computations at 36.7436 seconds.
Process 3 finished computations at 36.7436 seconds.
Process 26 finished computations at 36.7441 seconds.
Process 30 finished computations at 36.7511 seconds.
Process 25 finished computations at 36.7529 seconds.
Process 112 finished computations at 36.7548 seconds.
Process 39 finished computations at 36.7571 seconds.
Process 111 finished computations at 36.7604 seconds.
Process 4 finished computations at 36.7731 seconds.
Process 34 finished computations at 36.7963 seconds.
Process 24 finished computations at 36.7977 seconds.
Process 36 finished computations at 36.8007 seconds.
Process 126 finished computations at 36.8057 seconds.
Process 35 finished computations at 36.8115 seconds.
Process 99 finished computations at 36.8104 seconds.
Process 40 finished computations at 36.8199 seconds.
Process 37 finished computations at 36.8257 seconds.
Process 98 finished computations at 36.8266 seconds.
Process 18 finished computations at 36.8338 seconds.
Process 20 finished computations at 36.8564 seconds.
Process 42 finished computations at 36.8651 seconds.
Process 17 finished computations at 36.8688 seconds.
Process 113 finished computations at 36.8787 seconds.
Process 41 finished computations at 36.8821 seconds.
Process 5 finished computations at 36.8832 seconds.
Process 114 finished computations at 36.8844 seconds.
Process 21 finished computations at 36.903 seconds.
Process 125 finished computations at 36.906 seconds.
Process 124 finished computations at 36.9056 seconds.
Process 32 finished computations at 36.9108 seconds.
Process 43 finished computations at 36.915 seconds.
Process 97 finished computations at 36.9158 seconds.
Process 22 finished computations at 36.9187 seconds.
Process 60 finished computations at 36.9366 seconds.
Process 23 finished computations at 36.9495 seconds.
Process 6 finished computations at 36.9598 seconds.
Process 61 finished computations at 36.9618 seconds.
Process 116 finished computations at 36.9619 seconds.
Process 19 finished computations at 36.9648 seconds.
Process 7 finished computations at 36.973 seconds.
Process 62 finished computations at 36.9802 seconds.
Process 122 finished computations at 36.9835 seconds.
Process 117 finished computations at 36.9892 seconds.
Process 16 finished computations at 36.991 seconds.
Process 115 finished computations at 36.9989 seconds.
Process 13 finished computations at 37.0013 seconds.
Process 63 finished computations at 37.004 seconds.
Process 59 finished computations at 37.0097 seconds.
Process 14 finished computations at 37.0135 seconds.
Process 51 finished computations at 37.0185 seconds.
Process 44 finished computations at 37.02 seconds.
Process 52 finished computations at 37.0328 seconds.
Process 119 finished computations at 37.0384 seconds.
Process 54 finished computations at 37.0546 seconds.
Process 118 finished computations at 37.0565 seconds.
Process 123 finished computations at 37.0584 seconds.
Process 53 finished computations at 37.0585 seconds.
Process 8 finished computations at 37.0597 seconds.
