Threads, Time (seconds)
256, Running with 256 MPI processes.
Process 228 finished computations at 16.7928 seconds.
Process 230 finished computations at 16.8541 seconds.
Process 248 finished computations at 16.9229 seconds.
Process 253 finished computations at 16.9473 seconds.
Process 232 finished computations at 16.954 seconds.
Process 238 finished computations at 16.9532 seconds.
Process 247 finished computations at 16.9839 seconds.
Process 251 finished computations at 16.9915 seconds.
Process 243 finished computations at 17.0714 seconds.
Process 1 finished computations at 17.0801 seconds.
Process 229 finished computations at 17.0814 seconds.
Process 244 finished computations at 17.0873 seconds.
Process 239 finished computations at 17.09 seconds.
Process 237 finished computations at 17.1031 seconds.
Process 240 finished computations at 17.1054 seconds.
Process 252 finished computations at 17.1103 seconds.
Process 236 finished computations at 17.1211 seconds.
Process 204 finished computations at 17.1302 seconds.
Process 242 finished computations at 17.1513 seconds.
Process 255 finished computations at 17.174 seconds.
Process 197 finished computations at 17.1963 seconds.
Process 233 finished computations at 17.2238 seconds.
Process 249 finished computations at 17.2511 seconds.
Process 221 finished computations at 17.2653 seconds.
Process 231 finished computations at 17.2896 seconds.
Process 213 finished computations at 17.2973 seconds.
Process 254 finished computations at 17.3284 seconds.
Process 226 finished computations at 17.3354 seconds.
Process 0 finished computations at 17.3387 seconds.
Process 235 finished computations at 17.3462 seconds.
Process 250 finished computations at 17.3632 seconds.
Process 246 finished computations at 17.3713 seconds.
Process 6 finished computations at 17.3823 seconds.
Process 179 finished computations at 17.3749 seconds.
Process 225 finished computations at 17.4213 seconds.
Process 198 finished computations at 17.4591 seconds.
Process 245 finished computations at 17.4622 seconds.
Process 171 finished computations at 17.4829 seconds.
Process 177 finished computations at 17.4988 seconds.
Process 175 finished computations at 17.491 seconds.
Process 31 finished computations at 17.5069 seconds.
Process 241 finished computations at 17.5213 seconds.
Process 227 finished computations at 17.5229 seconds.
Process 220 finished computations at 17.5246 seconds.
Process 234 finished computations at 17.5282 seconds.
Process 7 finished computations at 17.548 seconds.
Process 3 finished computations at 17.5599 seconds.
Process 214 finished computations at 17.5802 seconds.
Process 205 finished computations at 17.5751 seconds.
Process 195 finished computations at 17.587 seconds.
Process 208 finished computations at 17.5998 seconds.
Process 211 finished computations at 17.627 seconds.
Process 13 finished computations at 17.6302 seconds.
Process 189 finished computations at 17.6537 seconds.
Process 215 finished computations at 17.6667 seconds.
Process 9 finished computations at 17.6686 seconds.
Process 224 finished computations at 17.6634 seconds.
Process 200 finished computations at 17.6756 seconds.
Process 2 finished computations at 17.6823 seconds.
Process 199 finished computations at 17.6739 seconds.
Process 186 finished computations at 17.7017 seconds.
Process 4 finished computations at 17.7004 seconds.
Process 176 finished computations at 17.7078 seconds.
Process 212 finished computations at 17.7333 seconds.
Process 194 finished computations at 17.7562 seconds.
Process 11 finished computations at 17.7717 seconds.
Process 30 finished computations at 17.7698 seconds.
Process 180 finished computations at 17.7883 seconds.
Process 170 finished computations at 17.7964 seconds.
Process 191 finished computations at 17.7947 seconds.
Process 145 finished computations at 17.8007 seconds.
Process 217 finished computations at 17.7973 seconds.
Process 178 finished computations at 17.8072 seconds.
Process 222 finished computations at 17.8179 seconds.
Process 206 finished computations at 17.8145 seconds.
Process 5 finished computations at 17.8178 seconds.
Process 168 finished computations at 17.824 seconds.
Process 192 finished computations at 17.8296 seconds.
Process 223 finished computations at 17.8325 seconds.
Process 188 finished computations at 17.8339 seconds.
Process 183 finished computations at 17.8392 seconds.
Process 166 finished computations at 17.852 seconds.
Process 165 finished computations at 17.859 seconds.
Process 209 finished computations at 17.8629 seconds.
Process 10 finished computations at 17.8741 seconds.
Process 162 finished computations at 17.8804 seconds.
Process 216 finished computations at 17.882 seconds.
Process 193 finished computations at 17.9081 seconds.
Process 210 finished computations at 17.9307 seconds.
Process 164 finished computations at 17.9373 seconds.
Process 181 finished computations at 17.9394 seconds.
Process 159 finished computations at 17.9483 seconds.
Process 163 finished computations at 17.9457 seconds.
Process 167 finished computations at 17.9504 seconds.
Process 174 finished computations at 17.9629 seconds.
Process 196 finished computations at 17.9723 seconds.
Process 201 finished computations at 17.9835 seconds.
Process 218 finished computations at 17.9881 seconds.
Process 18 finished computations at 17.9887 seconds.
Process 154 finished computations at 18.0031 seconds.
Process 202 finished computations at 18.0222 seconds.
Process 187 finished computations at 18.0346 seconds.
Process 203 finished computations at 18.0361 seconds.
Process 190 finished computations at 18.0346 seconds.
Process 182 finished computations at 18.0476 seconds.
Process 157 finished computations at 18.0819 seconds.
Process 16 finished computations at 18.0859 seconds.
Process 8 finished computations at 18.1035 seconds.
Process 24 finished computations at 18.1074 seconds.
Process 161 finished computations at 18.1167 seconds.
Process 12 finished computations at 18.1288 seconds.
Process 172 finished computations at 18.1414 seconds.
Process 184 finished computations at 18.1443 seconds.
Process 155 finished computations at 18.1654 seconds.
Process 219 finished computations at 18.1927 seconds.
Process 17 finished computations at 18.209 seconds.
Process 173 finished computations at 18.2256 seconds.
Process 169 finished computations at 18.232 seconds.
Process 14 finished computations at 18.2718 seconds.
Process 36 finished computations at 18.2775 seconds.
Process 25 finished computations at 18.3224 seconds.
Process 146 finished computations at 18.3264 seconds.
Process 15 finished computations at 18.3315 seconds.
Process 23 finished computations at 18.3397 seconds.
Process 22 finished computations at 18.3463 seconds.
Process 29 finished computations at 18.3511 seconds.
Process 20 finished computations at 18.3869 seconds.
Process 153 finished computations at 18.4009 seconds.
Process 160 finished computations at 18.4167 seconds.
Process 33 finished computations at 18.3973 seconds.
Process 207 finished computations at 18.4203 seconds.
Process 148 finished computations at 18.4506 seconds.
Process 185 finished computations at 18.4547 seconds.
Process 28 finished computations at 18.4784 seconds.
Process 141 finished computations at 18.4858 seconds.
Process 21 finished computations at 18.5101 seconds.
Process 149 finished computations at 18.5738 seconds.
Process 46 finished computations at 18.6003 seconds.
Process 150 finished computations at 18.6059 seconds.
Process 158 finished computations at 18.6265 seconds.
Process 26 finished computations at 18.6533 seconds.
Process 19 finished computations at 18.7191 seconds.
Process 80 finished computations at 18.7368 seconds.
Process 133 finished computations at 18.7425 seconds.
Process 151 finished computations at 18.7466 seconds.
Process 84 finished computations at 18.7497 seconds.
Process 27 finished computations at 18.7816 seconds.
Process 32 finished computations at 18.7964 seconds.
Process 156 finished computations at 18.7852 seconds.
Process 147 finished computations at 18.8084 seconds.
Process 127 finished computations at 18.8228 seconds.
Process 34 finished computations at 18.8568 seconds.
Process 40 finished computations at 18.8788 seconds.
Process 38 finished computations at 18.8719 seconds.
Process 107 finished computations at 18.8775 seconds.
Process 50 finished computations at 18.8882 seconds.
Process 88 finished computations at 18.8965 seconds.
Process 57 finished computations at 18.9137 seconds.
Process 105 finished computations at 18.9298 seconds.
Process 102 finished computations at 18.9418 seconds.
Process 144 finished computations at 18.9478 seconds.
Process 152 finished computations at 18.9508 seconds.
Process 128 finished computations at 18.9584 seconds.
Process 68 finished computations at 18.9812 seconds.
Process 49 finished computations at 18.9902 seconds.
Process 48 finished computations at 19.0003 seconds.
Process 81 finished computations at 18.9969 seconds.
Process 132 finished computations at 19.0237 seconds.
Process 115 finished computations at 19.0276 seconds.
Process 96 finished computations at 19.0265 seconds.
Process 41 finished computations at 19.0352 seconds.
Process 139 finished computations at 19.0385 seconds.
Process 62 finished computations at 19.0783 seconds.
Process 111 finished computations at 19.0799 seconds.
Process 140 finished computations at 19.0796 seconds.
Process 134 finished computations at 19.0898 seconds.
Process 83 finished computations at 19.0845 seconds.
Process 45 finished computations at 19.0958 seconds.
Process 58 finished computations at 19.1152 seconds.
Process 37 finished computations at 19.123 seconds.
Process 65 finished computations at 19.0994 seconds.
Process 42 finished computations at 19.1407 seconds.
Process 35 finished computations at 19.1481 seconds.
Process 118 finished computations at 19.1708 seconds.
Process 43 finished computations at 19.1804 seconds.
Process 130 finished computations at 19.1852 seconds.
Process 142 finished computations at 19.1863 seconds.
Process 60 finished computations at 19.2043 seconds.
Process 71 finished computations at 19.2042 seconds.
Process 79 finished computations at 19.2142 seconds.
Process 100 finished computations at 19.2129 seconds.
Process 94 finished computations at 19.2305 seconds.
Process 52 finished computations at 19.2338 seconds.
Process 98 finished computations at 19.2349 seconds.
Process 138 finished computations at 19.2491 seconds.
Process 54 finished computations at 19.2687 seconds.
Process 53 finished computations at 19.2648 seconds.
Process 92 finished computations at 19.2748 seconds.
Process 51 finished computations at 19.2755 seconds.
Process 55 finished computations at 19.2923 seconds.
Process 75 finished computations at 19.3081 seconds.
Process 122 finished computations at 19.3097 seconds.
Process 93 finished computations at 19.3249 seconds.
Process 74 finished computations at 19.3317 seconds.
Process 47 finished computations at 19.3469 seconds.
Process 63 finished computations at 19.3516 seconds.
Process 121 finished computations at 19.3675 seconds.
Process 97 finished computations at 19.3779 seconds.
Process 39 finished computations at 19.3881 seconds.
Process 129 finished computations at 19.4107 seconds.
Process 136 finished computations at 19.4128 seconds.
Process 44 finished computations at 19.4241 seconds.
Process 61 finished computations at 19.4196 seconds.
Process 101 finished computations at 19.4223 seconds.
Process 126 finished computations at 19.4446 seconds.
Process 59 finished computations at 19.4491 seconds.
Process 70 finished computations at 19.4661 seconds.
Process 82 finished computations at 19.5102 seconds.
Process 112 finished computations at 19.5063 seconds.
Process 66 finished computations at 19.5206 seconds.
Process 72 finished computations at 19.5217 seconds.
Process 86 finished computations at 19.5261 seconds.
Process 131 finished computations at 19.5328 seconds.
Process 143 finished computations at 19.5315 seconds.
Process 110 finished computations at 19.5402 seconds.
Process 67 finished computations at 19.556 seconds.
Process 106 finished computations at 19.5568 seconds.
Process 103 finished computations at 19.5721 seconds.
Process 56 finished computations at 19.5875 seconds.
Process 78 finished computations at 19.6102 seconds.
Process 91 finished computations at 19.6121 seconds.
Process 85 finished computations at 19.6126 seconds.
Process 109 finished computations at 19.6222 seconds.
Process 99 finished computations at 19.6309 seconds.
Process 76 finished computations at 19.6382 seconds.
Process 135 finished computations at 19.6942 seconds.
Process 137 finished computations at 19.7094 seconds.
Process 117 finished computations at 19.7295 seconds.
Process 69 finished computations at 19.7369 seconds.
Process 90 finished computations at 19.7763 seconds.
Process 123 finished computations at 19.7852 seconds.
Process 114 finished computations at 19.7824 seconds.
Process 113 finished computations at 19.7954 seconds.
Process 64 finished computations at 19.7985 seconds.
Process 120 finished computations at 19.8142 seconds.
Process 104 finished computations at 19.825 seconds.
Process 87 finished computations at 19.8332 seconds.
Process 108 finished computations at 19.8396 seconds.
Process 77 finished computations at 19.8876 seconds.
Process 95 finished computations at 19.8941 seconds.
Process 89 finished computations at 19.9002 seconds.
Process 124 finished computations at 19.9094 seconds.
Process 119 finished computations at 20.0394 seconds.
Process 73 finished computations at 20.0837 seconds.
Process 116 finished computations at 20.1145 seconds.
Process 125 finished computations at 20.2686 seconds.
Total time taken: 20.5372 seconds.
27.397
224, Running with 224 MPI processes.
Process 183 finished computations at 19.7195 seconds.
Process 208 finished computations at 19.7918 seconds.
Process 211 finished computations at 20.1363 seconds.
Process 51 finished computations at 20.3317 seconds.
Process 197 finished computations at 20.3964 seconds.
Process 204 finished computations at 20.4313 seconds.
Process 222 finished computations at 20.4587 seconds.
Process 207 finished computations at 20.4678 seconds.
Process 198 finished computations at 20.5129 seconds.
Process 144 finished computations at 20.5237 seconds.
Process 216 finished computations at 20.537 seconds.
Process 69 finished computations at 20.568 seconds.
Process 196 finished computations at 20.5589 seconds.
Process 199 finished computations at 20.5742 seconds.
Process 92 finished computations at 20.5968 seconds.
Process 205 finished computations at 20.5998 seconds.
Process 215 finished computations at 20.6167 seconds.
Process 223 finished computations at 20.6359 seconds.
Process 209 finished computations at 20.6387 seconds.
Process 202 finished computations at 20.6467 seconds.
Process 219 finished computations at 20.6468 seconds.
Process 9 finished computations at 20.6537 seconds.
Process 139 finished computations at 20.6635 seconds.
Process 192 finished computations at 20.6912 seconds.
Process 220 finished computations at 20.7197 seconds.
Process 184 finished computations at 20.7142 seconds.
Process 221 finished computations at 20.721 seconds.
Process 40 finished computations at 20.7327 seconds.
Process 154 finished computations at 20.7328 seconds.
Process 203 finished computations at 20.7473 seconds.
Process 167 finished computations at 20.7684 seconds.
Process 102 finished computations at 20.77 seconds.
Process 63 finished computations at 20.7734 seconds.
Process 130 finished computations at 20.7696 seconds.
Process 129 finished computations at 20.8002 seconds.
Process 193 finished computations at 20.7922 seconds.
Process 200 finished computations at 20.8052 seconds.
Process 206 finished computations at 20.8178 seconds.
Process 201 finished computations at 20.8204 seconds.
Process 62 finished computations at 20.8431 seconds.
Process 158 finished computations at 20.8635 seconds.
Process 31 finished computations at 20.8646 seconds.
Process 131 finished computations at 20.8644 seconds.
Process 189 finished computations at 20.8743 seconds.
Process 28 finished computations at 20.8781 seconds.
Process 180 finished computations at 20.8777 seconds.
Process 210 finished computations at 20.8835 seconds.
Process 0 finished computations at 20.899 seconds.
Process 107 finished computations at 20.8985 seconds.
Process 38 finished computations at 20.905 seconds.
Process 213 finished computations at 20.9084 seconds.
Process 160 finished computations at 20.9027 seconds.
Process 195 finished computations at 20.9134 seconds.
Process 186 finished computations at 20.9152 seconds.
Process 24 finished computations at 20.9281 seconds.
Process 147 finished computations at 20.9296 seconds.
Process 128 finished computations at 20.9333 seconds.
Process 42 finished computations at 20.9465 seconds.
Process 46 finished computations at 20.9409 seconds.
Process 150 finished computations at 20.9449 seconds.
Process 174 finished computations at 20.9539 seconds.
Process 135 finished computations at 20.9558 seconds.
Process 4 finished computations at 20.957 seconds.
Process 165 finished computations at 20.956 seconds.
Process 19 finished computations at 20.9653 seconds.
Process 71 finished computations at 20.9738 seconds.
Process 59 finished computations at 20.9775 seconds.
Process 218 finished computations at 20.9795 seconds.
Process 190 finished computations at 20.9815 seconds.
Process 90 finished computations at 20.9807 seconds.
Process 14 finished computations at 20.9921 seconds.
Process 166 finished computations at 20.9929 seconds.
Process 212 finished computations at 20.9965 seconds.
Process 145 finished computations at 20.9969 seconds.
Process 182 finished computations at 20.9988 seconds.
Process 120 finished computations at 21.009 seconds.
Process 105 finished computations at 21.0117 seconds.
Process 217 finished computations at 21.0065 seconds.
Process 113 finished computations at 21.0189 seconds.
Process 56 finished computations at 21.0164 seconds.
Process 173 finished computations at 21.0262 seconds.
Process 10 finished computations at 21.0354 seconds.
Process 143 finished computations at 21.0277 seconds.
Process 121 finished computations at 21.0291 seconds.
Process 80 finished computations at 21.0416 seconds.
Process 106 finished computations at 21.0416 seconds.
Process 146 finished computations at 21.0493 seconds.
Process 134 finished computations at 21.0565 seconds.
Process 214 finished computations at 21.0541 seconds.
Process 44 finished computations at 21.051 seconds.
Process 185 finished computations at 21.0591 seconds.
Process 172 finished computations at 21.051 seconds.
Process 8 finished computations at 21.0738 seconds.
Process 169 finished computations at 21.0812 seconds.
Process 138 finished computations at 21.0799 seconds.
Process 49 finished computations at 21.0704 seconds.
Process 85 finished computations at 21.0867 seconds.
Process 96 finished computations at 21.0945 seconds.
Process 66 finished computations at 21.0963 seconds.
Process 136 finished computations at 21.1011 seconds.
Process 7 finished computations at 21.1019 seconds.
Process 163 finished computations at 21.1073 seconds.
Process 159 finished computations at 21.1191 seconds.
Process 132 finished computations at 21.1234 seconds.
Process 175 finished computations at 21.1196 seconds.
Process 72 finished computations at 21.1241 seconds.
Process 148 finished computations at 21.1278 seconds.
Process 162 finished computations at 21.1326 seconds.
Process 45 finished computations at 21.1318 seconds.
Process 17 finished computations at 21.1325 seconds.
Process 43 finished computations at 21.1411 seconds.
Process 181 finished computations at 21.1426 seconds.
Process 15 finished computations at 21.1462 seconds.
Process 67 finished computations at 21.1451 seconds.
Process 57 finished computations at 21.1565 seconds.
Process 65 finished computations at 21.1574 seconds.
Process 23 finished computations at 21.1643 seconds.
Process 171 finished computations at 21.1653 seconds.
Process 37 finished computations at 21.168 seconds.
Process 164 finished computations at 21.1757 seconds.
Process 73 finished computations at 21.1767 seconds.
Process 47 finished computations at 21.1719 seconds.
Process 25 finished computations at 21.1809 seconds.
Process 95 finished computations at 21.1835 seconds.
Process 142 finished computations at 21.1858 seconds.
Process 58 finished computations at 21.1862 seconds.
Process 168 finished computations at 21.1868 seconds.
Process 34 finished computations at 21.1878 seconds.
Process 117 finished computations at 21.2006 seconds.
Process 18 finished computations at 21.2106 seconds.
Process 88 finished computations at 21.215 seconds.
Process 137 finished computations at 21.2191 seconds.
Process 48 finished computations at 21.228 seconds.
Process 36 finished computations at 21.2198 seconds.
Process 187 finished computations at 21.2556 seconds.
Process 79 finished computations at 21.2567 seconds.
Process 12 finished computations at 21.2575 seconds.
Process 124 finished computations at 21.2474 seconds.
Process 179 finished computations at 21.2645 seconds.
Process 1 finished computations at 21.2699 seconds.
Process 6 finished computations at 21.2715 seconds.
Process 75 finished computations at 21.265 seconds.
Process 188 finished computations at 21.2704 seconds.
Process 104 finished computations at 21.2756 seconds.
Process 29 finished computations at 21.2701 seconds.
Process 123 finished computations at 21.2783 seconds.
Process 157 finished computations at 21.2716 seconds.
Process 176 finished computations at 21.2853 seconds.
Process 141 finished computations at 21.2814 seconds.
Process 20 finished computations at 21.2915 seconds.
Process 177 finished computations at 21.2832 seconds.
Process 127 finished computations at 21.2962 seconds.
Process 33 finished computations at 21.2863 seconds.
Process 140 finished computations at 21.3042 seconds.
Process 152 finished computations at 21.3024 seconds.
Process 170 finished computations at 21.3082 seconds.
Process 116 finished computations at 21.3081 seconds.
Process 194 finished computations at 21.3118 seconds.
Process 55 finished computations at 21.3153 seconds.
Process 153 finished computations at 21.3251 seconds.
Process 122 finished computations at 21.3317 seconds.
Process 155 finished computations at 21.3352 seconds.
Process 108 finished computations at 21.339 seconds.
Process 21 finished computations at 21.3534 seconds.
Process 5 finished computations at 21.3541 seconds.
Process 27 finished computations at 21.3569 seconds.
Process 151 finished computations at 21.3571 seconds.
Process 11 finished computations at 21.3652 seconds.
Process 86 finished computations at 21.3599 seconds.
Process 125 finished computations at 21.3798 seconds.
Process 26 finished computations at 21.3786 seconds.
Process 103 finished computations at 21.3888 seconds.
Process 50 finished computations at 21.3901 seconds.
Process 109 finished computations at 21.3971 seconds.
Process 82 finished computations at 21.3988 seconds.
Process 178 finished computations at 21.4037 seconds.
Process 83 finished computations at 21.4137 seconds.
Process 94 finished computations at 21.4176 seconds.
Process 78 finished computations at 21.4243 seconds.
Process 13 finished computations at 21.4309 seconds.
Process 16 finished computations at 21.4372 seconds.
Process 76 finished computations at 21.4375 seconds.
Process 53 finished computations at 21.4423 seconds.
Process 119 finished computations at 21.4513 seconds.
Process 89 finished computations at 21.4555 seconds.
Process 35 finished computations at 21.4559 seconds.
Process 74 finished computations at 21.4553 seconds.
Process 54 finished computations at 21.4543 seconds.
Process 22 finished computations at 21.4576 seconds.
Process 87 finished computations at 21.4693 seconds.
Process 161 finished computations at 21.466 seconds.
Process 68 finished computations at 21.4833 seconds.
Process 60 finished computations at 21.4881 seconds.
Process 97 finished computations at 21.4995 seconds.
Process 2 finished computations at 21.5089 seconds.
Process 52 finished computations at 21.5013 seconds.
Process 118 finished computations at 21.5086 seconds.
Process 101 finished computations at 21.5115 seconds.
Process 114 finished computations at 21.5227 seconds.
Process 100 finished computations at 21.5256 seconds.
Process 133 finished computations at 21.5439 seconds.
Process 98 finished computations at 21.5456 seconds.
Process 99 finished computations at 21.5506 seconds.
Process 64 finished computations at 21.5445 seconds.
Process 30 finished computations at 21.5604 seconds.
Process 191 finished computations at 21.5783 seconds.
Process 61 finished computations at 21.5789 seconds.
Process 112 finished computations at 21.5899 seconds.
Process 32 finished computations at 21.5904 seconds.
Process 126 finished computations at 21.5991 seconds.
Process 39 finished computations at 21.604 seconds.
Process 41 finished computations at 21.6001 seconds.
Process 70 finished computations at 21.6189 seconds.
Process 3 finished computations at 21.6188 seconds.
Process 77 finished computations at 21.6266 seconds.
Process 93 finished computations at 21.6308 seconds.
Process 149 finished computations at 21.6335 seconds.
Process 111 finished computations at 21.6381 seconds.
Process 81 finished computations at 21.644 seconds.
Process 84 finished computations at 21.6417 seconds.
Process 115 finished computations at 21.678 seconds.
Process 156 finished computations at 21.7062 seconds.
Process 110 finished computations at 21.7379 seconds.
Process 91 finished computations at 21.752 seconds.
Total time taken: 21.8762 seconds.
28.469
192, Running with 192 MPI processes.
Process 16 finished computations at 23.8427 seconds.
Process 168 finished computations at 23.9137 seconds.
Process 175 finished computations at 23.9943 seconds.
Process 30 finished computations at 24.0049 seconds.
Process 111 finished computations at 24.0029 seconds.
Process 9 finished computations at 24.0819 seconds.
Process 51 finished computations at 24.1059 seconds.
Process 47 finished computations at 24.1009 seconds.
Process 41 finished computations at 24.1629 seconds.
Process 105 finished computations at 24.1658 seconds.
Process 64 finished computations at 24.1822 seconds.
Process 140 finished computations at 24.1762 seconds.
Process 68 finished computations at 24.2107 seconds.
Process 92 finished computations at 24.2271 seconds.
Process 181 finished computations at 24.226 seconds.
Process 145 finished computations at 24.2277 seconds.
Process 171 finished computations at 24.2495 seconds.
Process 52 finished computations at 24.2751 seconds.
Process 21 finished computations at 24.35 seconds.
Process 40 finished computations at 24.3868 seconds.
Process 23 finished computations at 24.388 seconds.
Process 151 finished computations at 24.3955 seconds.
Process 104 finished computations at 24.3997 seconds.
Process 179 finished computations at 24.404 seconds.
Process 190 finished computations at 24.402 seconds.
Process 136 finished computations at 24.425 seconds.
Process 173 finished computations at 24.4248 seconds.
Process 155 finished computations at 24.4271 seconds.
Process 43 finished computations at 24.4031 seconds.
Process 183 finished computations at 24.431 seconds.
Process 162 finished computations at 24.4546 seconds.
Process 59 finished computations at 24.4589 seconds.
Process 36 finished computations at 24.4424 seconds.
Process 170 finished computations at 24.461 seconds.
Process 106 finished computations at 24.5037 seconds.
Process 134 finished computations at 24.5121 seconds.
Process 189 finished computations at 24.5189 seconds.
Process 131 finished computations at 24.5218 seconds.
Process 150 finished computations at 24.5531 seconds.
Process 44 finished computations at 24.5628 seconds.
Process 29 finished computations at 24.5705 seconds.
Process 62 finished computations at 24.5753 seconds.
Process 33 finished computations at 24.5796 seconds.
Process 172 finished computations at 24.6019 seconds.
Process 25 finished computations at 24.61 seconds.
Process 46 finished computations at 24.6175 seconds.
Process 102 finished computations at 24.6165 seconds.
Process 103 finished computations at 24.6159 seconds.
Process 185 finished computations at 24.6344 seconds.
Process 32 finished computations at 24.634 seconds.
Process 56 finished computations at 24.648 seconds.
Process 184 finished computations at 24.6597 seconds.
Process 161 finished computations at 24.6467 seconds.
Process 163 finished computations at 24.6655 seconds.
Process 156 finished computations at 24.6749 seconds.
Process 117 finished computations at 24.7009 seconds.
Process 12 finished computations at 24.7195 seconds.
Process 37 finished computations at 24.7373 seconds.
Process 157 finished computations at 24.7376 seconds.
Process 55 finished computations at 24.7391 seconds.
Process 158 finished computations at 24.7419 seconds.
Process 58 finished computations at 24.7449 seconds.
Process 165 finished computations at 24.7497 seconds.
Process 127 finished computations at 24.7516 seconds.
Process 11 finished computations at 24.7553 seconds.
Process 146 finished computations at 24.7551 seconds.
Process 178 finished computations at 24.7799 seconds.
Process 141 finished computations at 24.7803 seconds.
Process 164 finished computations at 24.7883 seconds.
Process 82 finished computations at 24.7879 seconds.
Process 61 finished computations at 24.7756 seconds.
Process 169 finished computations at 24.7989 seconds.
Process 130 finished computations at 24.801 seconds.
Process 180 finished computations at 24.809 seconds.
Process 63 finished computations at 24.8208 seconds.
Process 153 finished computations at 24.8241 seconds.
Process 154 finished computations at 24.8245 seconds.
Process 2 finished computations at 24.8312 seconds.
Process 116 finished computations at 24.8319 seconds.
Process 132 finished computations at 24.8354 seconds.
Process 34 finished computations at 24.8327 seconds.
Process 90 finished computations at 24.8391 seconds.
Process 89 finished computations at 24.8524 seconds.
Process 182 finished computations at 24.8622 seconds.
Process 148 finished computations at 24.8628 seconds.
Process 26 finished computations at 24.8726 seconds.
Process 137 finished computations at 24.8731 seconds.
Process 144 finished computations at 24.877 seconds.
Process 126 finished computations at 24.8748 seconds.
Process 45 finished computations at 24.8687 seconds.
Process 143 finished computations at 24.8835 seconds.
Process 74 finished computations at 24.8919 seconds.
Process 177 finished computations at 24.8872 seconds.
Process 110 finished computations at 24.9014 seconds.
Process 3 finished computations at 24.9126 seconds.
Process 112 finished computations at 24.9184 seconds.
Process 0 finished computations at 24.9207 seconds.
Process 187 finished computations at 24.9213 seconds.
Process 53 finished computations at 24.9226 seconds.
Process 118 finished computations at 24.9245 seconds.
Process 87 finished computations at 24.9287 seconds.
Process 176 finished computations at 24.9397 seconds.
